distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun,distance_labels,consume_labels
8.7,5.3,28,21.93491124260355,12,SP98,1,1,0,<50,"4.7-5,3"
7.9,4.7,31,21.93491124260355,12,SP98,1,0,0,<50,<4.7
2.4,9.0,26,20.0,10,SP98,0,0,0,<50,8-12.2
4.9,6.3,26,20.0,10,SP98,0,0,0,<50,5.3-8
18.1,3.6,36,20.0,19,SP98,0,0,0,<50,<4.7
25.9,3.7,39,20.0,21,SP98,0,0,0,<50,<4.7
1.3,11.5,21,20.0,10,SP98,0,0,0,,8-12.2
14.1,5.0,22,20.0,12,SP98,0,0,0,<50,"4.7-5,3"
13.4,5.5,31,20.0,9,SP98,0,0,0,<50,5.3-8
6.4,4.7,33,20.0,8,SP98,0,0,0,<50,<4.7
12.9,4.5,42,20.0,13,SP98,0,0,0,<50,<4.7
12.1,4.4,33,21.93491124260355,5,SP98,0,0,0,<50,<4.7
15.7,4.1,32,21.93491124260355,13,SP98,0,0,0,<50,<4.7
16.2,4.4,26,21.93491124260355,11,SP98,0,0,0,<50,<4.7
12.8,4.6,22,21.93491124260355,12,SP98,0,0,0,<50,<4.7
19.0,4.4,58,21.93491124260355,17,SP98,0,0,1,<50,<4.7
29.0,4.0,27,21.93491124260355,12,SP98,0,0,0,<50,<4.7
12.1,5.0,32,21.93491124260355,9,SP98,0,0,0,<50,"4.7-5,3"
12.3,5.2,55,21.93491124260355,10,SP98,0,0,0,<50,"4.7-5,3"
24.8,4.0,56,21.93491124260355,11,SP98,0,0,0,<50,<4.7
12.9,5.1,34,21.93491124260355,8,SP98,0,1,0,<50,"4.7-5,3"
11.8,4.5,39,21.93491124260355,3,SP98,0,0,0,<50,<4.7
31.4,4.6,62,21.93491124260355,11,SP98,0,0,0,<50,<4.7
19.0,5.1,53,21.93491124260355,4,SP98,0,1,0,<50,"4.7-5,3"
13.0,5.7,38,21.93491124260355,3,SP98,1,1,0,<50,5.3-8
11.8,4.8,42,21.93491124260355,2,SP98,0,0,0,<50,"4.7-5,3"
13.0,6.2,32,21.93491124260355,4,SP98,0,0,0,<50,5.3-8
11.8,5.0,43,21.93491124260355,1,SP98,0,0,0,<50,"4.7-5,3"
27.1,5.0,69,21.93491124260355,8,SP98,0,0,0,<50,"4.7-5,3"
5.2,4.6,38,21.93491124260355,8,SP98,0,0,0,<50,<4.7
19.0,4.5,29,21.93491124260355,10,E10,0,0,0,<50,<4.7
12.4,4.8,38,21.93491124260355,1,E10,0,0,0,<50,"4.7-5,3"
25.2,5.0,55,21.93491124260355,9,E10,0,0,0,<50,"4.7-5,3"
14.3,4.8,36,21.93491124260355,10,E10,0,0,0,<50,"4.7-5,3"
11.8,4.6,40,21.93491124260355,2,E10,0,0,0,<50,<4.7
16.9,4.5,48,21.93491124260355,9,E10,0,0,1,<50,<4.7
12.4,4.6,55,21.93491124260355,11,E10,0,0,1,<50,<4.7
17.4,4.4,36,21.93491124260355,12,E10,0,0,1,<50,<4.7
9.2,5.7,33,21.93491124260355,8,E10,0,1,0,<50,5.3-8
12.3,5.8,54,21.93491124260355,10,E10,0,1,0,<50,5.3-8
13.0,5.9,32,21.93491124260355,10,E10,0,0,0,<50,5.3-8
11.8,6.1,16,21.93491124260355,6,E10,0,1,0,<50,5.3-8
13.0,5.7,37,21.93491124260355,11,E10,0,1,0,<50,5.3-8
12.3,5.0,42,21.93491124260355,10,E10,0,0,0,<50,"4.7-5,3"
12.3,5.2,57,21.93491124260355,15,E10,0,0,1,<50,"4.7-5,3"
12.5,4.3,57,21.93491124260355,16,E10,0,0,1,<50,<4.7
31.5,4.1,30,21.93491124260355,16,E10,0,0,1,<50,<4.7
11.8,4.4,42,21.93491124260355,8,E10,0,0,0,<50,<4.7
24.9,4.5,53,21.93491124260355,14,E10,0,0,0,<50,<4.7
17.0,3.9,46,21.93491124260355,14,E10,0,0,1,<50,<4.7
2.0,8.1,20,21.93491124260355,14,E10,0,0,0,<50,8-12.2
11.8,4.4,33,21.93491124260355,8,E10,0,0,0,<50,<4.7
7.4,5.0,31,21.93491124260355,12,E10,0,0,0,<50,"4.7-5,3"
12.4,4.7,55,21.93491124260355,14,E10,0,0,1,<50,<4.7
2.0,6.0,22,21.93491124260355,14,E10,0,0,0,<50,5.3-8
14.0,5.0,41,21.93491124260355,8,E10,0,0,0,<50,"4.7-5,3"
25.7,5.0,45,21.93491124260355,7,E10,0,0,0,<50,"4.7-5,3"
24.5,3.9,50,21.93491124260355,15,E10,0,0,1,<50,<4.7
11.8,4.5,28,21.93491124260355,12,E10,0,0,0,<50,<4.7
4.1,5.4,24,21.93491124260355,13,E10,0,0,0,<50,5.3-8
4.2,5.6,29,22.0,17,E10,0,0,0,<50,5.3-8
4.2,3.9,29,22.0,18,E10,0,0,1,<50,<4.7
16.0,4.0,40,22.0,10,E10,0,0,0,<50,<4.7
22.9,4.0,29,21.93491124260355,21,E10,0,0,0,<50,<4.7
16.0,3.8,42,21.93491124260355,8,E10,0,0,0,<50,<4.7
15.4,4.5,50,22.0,14,E10,0,0,0,<50,<4.7
16.0,3.8,41,22.0,12,E10,0,0,0,<50,<4.7
4.2,5.6,32,22.0,18,E10,0,0,0,<50,5.3-8
101.9,5.2,75,22.0,18,E10,0,0,0,100-150,"4.7-5,3"
93.9,4.8,88,23.0,18,E10,1,0,1,50-100,"4.7-5,3"
25.7,4.9,50,22.0,10,SP98,0,1,0,<50,"4.7-5,3"
16.0,4.1,40,22.0,10,SP98,0,0,0,<50,<4.7
16.1,4.5,32,22.0,19,SP98,0,0,0,<50,<4.7
16.0,4.4,40,22.0,7,SP98,1,1,0,<50,<4.7
16.0,4.5,41,22.0,11,SP98,0,0,0,<50,<4.7
24.7,4.5,26,22.0,10,SP98,0,0,0,<50,<4.7
16.0,3.9,42,22.0,8,SP98,0,0,0,<50,<4.7
15.4,4.6,43,22.0,16,SP98,0,0,0,<50,<4.7
16.0,3.8,40,22.0,8,SP98,0,0,0,<50,<4.7
32.1,4.5,50,22.0,16,SP98,0,0,0,<50,<4.7
25.9,4.4,40,22.0,14,SP98,0,0,0,<50,<4.7
48.6,4.3,44,22.0,12,SP98,0,0,0,<50,<4.7
37.2,4.0,45,22.0,20,SP98,0,0,1,<50,<4.7
28.8,3.9,35,22.0,15,SP98,0,0,1,<50,<4.7
6.7,5.0,30,22.0,17,SP98,0,0,0,<50,"4.7-5,3"
